ZCTA,ADI_NATRANK,ADI_STATERNK,ADI_QUINTILE
90419,69,69,4
90420,57,57,4
90421,46,46,4
90422,1,1,1
90423,39,39,3
90424,20,20,1
90425,62,62,3
90426,45,45,3
90427,34,34,5
90428,100,100,2
90429,75,75,1
90430,76,76,1
90431,100,100,4
90432,70,70,4
90433,30,30,1
90434,27,27,1
90435,74,74,4
90436,1,1,1
90437,48,48,5
90438,1,1,4
90439,52,52,1
90440,71,71,1
90441,56,56,5
90442,73,73,2
90443,99,99,2
90444,46,46,5
90445,100,100,5
90446,55,55,5
90447,73,73,4
90448,34,34,2
90449,90,90,1
90450,76,76,4
90451,86,86,3
90452,51,51,3
90453,18,18,5
90454,61,61,1
90455,7,7,3
90456,41,41,1
90457,54,54,3
90458,100,100,1
90459,57,57,1
90460,53,53,1
90461,48,48,4
90462,16,16,4
90463,52,52,3
90464,52,52,5
90465,25,25,2
90466,20,20,2
90467,37,37,5
90468,51,51,2
90469,38,38,5
90470,23,23,1
90471,57,57,5
90472,63,63,1
90473,53,53,5
90474,35,35,3
90475,64,64,5
90476,45,45,1
90477,20,20,3
90478,75,75,5
90479,58,58,3
90480,47,47,4
90481,10,10,4
90482,31,31,3
90483,100,100,4
90484,12,12,3
90485,43,43,5
90486,49,49,1
90487,58,58,2
90488,12,12,5
90489,54,54,5
90490,7,7,3
90491,52,52,4
90492,33,33,2
90493,28,28,1
90494,70,70,3
90495,44,44,2
90496,61,61,3
90497,62,62,1
90498,81,81,5
90499,19,19,5
90500,72,72,4
90501,50,50,3
90502,40,40,2
90503,21,21,5
90504,65,65,4
90505,26,26,1
90506,62,62,5
90507,98,98,5
90508,74,74,5
90509,84,84,4
90510,32,32,4
90511,69,69,3
90512,21,21,5
90513,44,44,5
90514,93,93,1
90515,34,34,1
90516,77,77,2
90517,75,75,5
90518,76,76,5
90519,18,18,1
90520,63,63,3
90521,46,46,2
90522,77,77,5
90523,8,8,5
90524,59,59,5
90525,55,55,3
90526,1,1,3
90527,27,27,2
90528,4,4,1
90529,31,31,5
90530,63,63,5
90531,54,54,5
90532,54,54,5
90533,24,24,3
90534,78,78,4
90535,49,49,5
90536,50,50,5
90537,73,73,2
90538,25,25,3
90539,55,55,1
90540,60,60,5
90541,36,36,4
90542,66,66,2
90543,61,61,4
90544,47,47,4
90545,46,46,2
90546,63,63,1
90547,69,69,4
90548,51,51,3
90549,78,78,4
90550,66,66,3
90551,5,5,5
90552,14,14,3
90553,79,79,3
90554,43,43,5
90555,54,54,3
90556,78,78,1
90557,49,49,1
90558,50,50,4
90559,28,28,4
90560,59,59,4
90561,64,64,2
90562,35,35,1
90563,26,26,1
90564,100,100,2
90565,47,47,3
90566,32,32,2
90567,67,67,3
90568,48,48,5
90569,22,22,2
90570,62,62,3
90571,28,28,4
90572,89,89,2
90573,62,62,4
90574,43,43,5
90575,52,52,5
90576,72,72,1
90577,54,54,5
90578,100,100,3
90579,78,78,2
90580,62,62,3
90581,26,26,5
90582,46,46,3
90583,61,61,2
90584,29,29,4
90585,82,82,2
90586,25,25,1
90587,34,34,1
90588,35,35,1
90589,68,68,1
90590,29,29,1
90591,5,5,4
90592,77,77,1
90593,38,38,2
90594,23,23,5
90595,31,31,3
90596,92,92,4
90597,33,33,1
90598,46,46,1
90599,38,38,1
90600,19,19,1
90601,31,31,2
90602,17,17,1
90603,73,73,1
90604,52,52,1
90605,100,100,3
90606,32,32,2
90607,28,28,2
90608,88,88,3
90609,76,76,4
90610,59,59,1
90611,22,22,4
90612,93,93,4
90613,48,48,1
90614,39,39,5
90615,78,78,5
90616,49,49,1
90617,20,20,2
90618,51,51,5
90619,30,30,4
90620,1,1,1
90621,27,27,2
90622,36,36,2
90623,21,21,3
90624,64,64,4
90625,30,30,2
90626,61,61,3
90627,19,19,4
90628,72,72,1
90629,18,18,2
90630,1,1,4
90631,80,80,5
90632,28,28,3
90633,93,93,3
90634,64,64,1
90635,69,69,3
90636,76,76,3
90637,52,52,2
90638,53,53,2
90639,82,82,2
90640,52,52,1
90641,31,31,2
90642,64,64,2
90643,1,1,2
90644,82,82,1
90645,83,83,5
90646,79,79,3
90647,78,78,4
90648,47,47,4
90649,47,47,3
90650,19,19,1
90651,93,93,3
90652,37,37,3
90653,58,58,4
90654,56,56,3
90655,16,16,1
90656,6,6,2
90657,50,50,2
90658,38,38,4
90659,47,47,3
90660,76,76,2
90661,55,55,5
90662,68,68,4
90663,61,61,2
90664,42,42,1
90665,24,24,1
90666,56,56,2
90667,52,52,1
90668,72,72,1
90669,46,46,2
90670,42,42,1
90671,44,44,5
90672,27,27,1
90673,86,86,3
90674,78,78,3
90675,19,19,5
90676,70,70,1
90677,3,3,2
90678,74,74,5
90679,32,32,5
90680,58,58,5
90681,1,1,2
90682,20,20,1
90683,61,61,4
90684,32,32,5
90685,29,29,3
90686,84,84,3
90687,100,100,2
90688,73,73,4
90689,22,22,1
90690,94,94,2
90691,10,10,3
90692,42,42,3
90693,51,51,2
90694,98,98,1
90695,72,72,4
90696,38,38,2
90697,26,26,3
90698,75,75,1
90699,36,36,3
90700,55,55,3
90701,15,15,1
90702,64,64,2
90703,62,62,1
90704,18,18,1
90705,75,75,5
90706,63,63,2
90707,68,68,5
90708,40,40,2
90709,54,54,4
90710,51,51,4
90711,46,46,3
90712,54,54,3
90713,81,81,3
90714,76,76,2
90715,20,20,5
90716,74,74,5
90717,79,79,5
90718,46,46,1
90719,62,62,4
90720,62,62,5
90721,28,28,1
90722,40,40,1
90723,68,68,4
90724,37,37,3
90725,74,74,5
90726,82,82,1
90727,78,78,4
90728,99,99,2
90729,47,47,1
90730,54,54,1
90731,58,58,5
90732,48,48,4
90733,63,63,3
90734,7,7,2
90735,55,55,5
90736,15,15,2
90737,25,25,5
90738,68,68,3
90739,45,45,2
90740,67,67,3
90741,44,44,2
90742,77,77,4
90743,44,44,3
90744,1,1,2
90745,55,55,5
90746,1,1,2
90747,13,13,3
90748,27,27,5
90749,24,24,4
90750,36,36,1
90751,23,23,5
90752,14,14,4
90753,88,88,2
90754,33,33,1
90755,1,1,4
90756,40,40,4
90757,21,21,3
90758,27,27,5
90759,67,67,4
90760,38,38,1
90761,21,21,2
90762,61,61,2
90763,78,78,4
90764,63,63,1
90765,1,1,3
90766,22,22,4
90767,51,51,5
90768,43,43,2
90769,41,41,5
90770,25,25,1
90771,14,14,5
90772,100,100,1
90773,50,50,2
90774,66,66,4
90775,50,50,1
90776,51,51,2
90777,48,48,4
90778,21,21,4
90779,12,12,4
90780,59,59,4
90781,54,54,3
90782,73,73,2
90783,68,68,2
90784,29,29,1
90785,78,78,5
90786,69,69,3
90787,67,67,3
90788,100,100,3
90789,100,100,5
90790,67,67,1
90791,64,64,3
90792,77,77,3
90793,35,35,4
90794,35,35,1
90795,66,66,5
90796,28,28,5
90797,64,64,3
90798,53,53,4
90799,28,28,5
90800,50,50,4
90801,82,82,1
90802,52,52,3
90803,52,52,4
90804,58,58,3
90805,61,61,4
90806,41,41,5
90807,58,58,5
90808,23,23,3
90809,30,30,1
90810,33,33,5
90811,61,61,5
90812,54,54,1
90813,46,46,5
90814,67,67,5
90815,59,59,3
90816,42,42,3
90817,24,24,2
90818,29,29,1
90819,13,13,2
90820,53,53,5
90821,28,28,1
90822,37,37,2
90823,46,46,2
90824,76,76,3
90825,73,73,5
90826,48,48,2
90827,81,81,2
90828,1,1,4
90829,96,96,3
90830,67,67,2
90831,52,52,3
90832,27,27,1
90833,39,39,1
90834,65,65,3
90835,65,65,3
90836,66,66,5
90837,31,31,2
90838,26,26,3
90839,54,54,4
90840,69,69,1
90841,50,50,4
90842,87,87,1
90843,50,50,5
90844,49,49,1
90845,66,66,3
90846,80,80,1
90847,16,16,5
90848,22,22,3
90849,42,42,3
90850,100,100,1
90851,43,43,4
90852,46,46,2
90853,65,65,5
90854,74,74,2
90855,54,54,1
90856,79,79,1
90857,20,20,3
90858,30,30,3
90859,79,79,1
90860,50,50,4
90861,18,18,3
90862,16,16,3
90863,29,29,3
90864,50,50,3
90865,61,61,3
90866,41,41,1
90867,59,59,1
90868,39,39,5
90869,80,80,5
90870,100,100,2
90871,40,40,2
90872,61,61,4
90873,59,59,3
90874,53,53,1
90875,66,66,1
90876,61,61,4
90877,38,38,4
90878,82,82,1
90879,55,55,2
90880,40,40,2
90881,100,100,4
90882,47,47,1
90883,56,56,1
90884,54,54,4
90885,46,46,1
90886,61,61,4
90887,28,28,2
90888,64,64,1
90889,6,6,2
90890,17,17,4
90891,95,95,5
90892,18,18,5
90893,1,1,2
90894,19,19,4
90895,93,93,2
90896,5,5,2
90897,26,26,5
90898,13,13,1
90899,43,43,1
90900,39,39,2
90901,37,37,1
90902,96,96,1
90903,20,20,3
90904,47,47,3
90905,58,58,5
90906,25,25,5
90907,62,62,2
90908,40,40,2
90909,59,59,2
90910,47,47,3
90911,1,1,2
90912,82,82,4
90913,100,100,3
90914,45,45,3
90915,27,27,3
90916,87,87,2
90917,97,97,5
90918,45,45,4
90919,44,44,1
90920,48,48,5
90921,8,8,3
90922,42,42,5
90923,92,92,4
90924,45,45,3
90925,23,23,1
90926,62,62,2
90927,33,33,3
90928,48,48,4
90929,18,18,2
90930,24,24,1
90931,68,68,5
90932,52,52,5
90933,30,30,3
90934,52,52,1
90935,34,34,2
90936,30,30,1
90937,79,79,5
90938,69,69,1
90939,49,49,3
90940,53,53,2
90941,49,49,3
90942,62,62,4
90943,30,30,5
90944,71,71,2
90945,58,58,1
90946,43,43,1
90947,37,37,5
90948,71,71,5
90949,46,46,3
90950,32,32,4
90951,40,40,4
90952,69,69,1
90953,9,9,5
90954,41,41,3
90955,76,76,2
90956,45,45,3
90957,56,56,1
90958,77,77,1
90959,72,72,4
90960,38,38,1
90961,46,46,4
90962,72,72,2
90963,73,73,2
90964,47,47,2
90965,48,48,2
90966,56,56,4
90967,84,84,2
90968,76,76,3
90969,67,67,3
90970,23,23,4
90971,43,43,5
90972,44,44,4
90973,85,85,2
90974,44,44,1
90975,81,81,2
90976,35,35,3
90977,37,37,1
90978,62,62,3
90979,89,89,3
90980,44,44,2
90981,1,1,4
90982,10,10,1
90983,57,57,1
90984,13,13,4
90985,28,28,3
90986,50,50,4
90987,1,1,3
90988,40,40,2
90989,20,20,5
90990,12,12,4
90991,29,29,4
90992,23,23,2
90993,61,61,3
90994,79,79,2
90995,40,40,1
90996,35,35,5
90997,39,39,1
90998,22,22,5
90999,17,17,3
91000,8,8,1
91001,16,16,3
91002,90,90,5
91003,32,32,4
91004,1,1,5
91005,35,35,4
91006,10,10,4
91007,51,51,5
91008,48,48,2
91009,51,51,3
91010,48,48,2
91011,40,40,5
91012,13,13,5
91013,48,48,1
91014,75,75,4
91015,95,95,5
91016,44,44,1
91017,46,46,3
91018,62,62,5
91019,87,87,1
91020,37,37,4
91021,67,67,2
91022,29,29,5
91023,58,58,5
91024,74,74,5
91025,17,17,3
91026,36,36,5
91027,73,73,5
91028,65,65,2
91029,75,75,5
91030,71,71,1
91031,41,41,3
91032,100,100,2
91033,53,53,1
91034,1,1,1
91035,42,42,4
91036,38,38,2
91037,69,69,4
91038,38,38,1
91039,77,77,2
91040,63,63,3
91041,24,24,4
91042,46,46,2
91043,30,30,4
91044,54,54,5
91045,30,30,4
91046,51,51,2
91047,43,43,1
91048,46,46,5
91049,100,100,1
91050,40,40,5
91051,1,1,3
91052,75,75,5
91053,75,75,4
91054,1,1,5
91055,32,32,2
91056,60,60,4
91057,63,63,3
91058,49,49,3
91059,50,50,4
91060,26,26,5
91061,1,1,5
91062,100,100,4
91063,25,25,3
91064,54,54,3
91065,46,46,4
91066,72,72,2
91067,52,52,1
91068,53,53,2
91069,1,1,2
91070,29,29,2
91071,68,68,2
91072,66,66,1
91073,26,26,1
91074,10,10,5
91075,53,53,3
91076,1,1,2
91077,21,21,4
91078,94,94,2
91079,86,86,5
91080,62,62,4
91081,57,57,1
91082,1,1,3
91083,31,31,5
91084,42,42,5
91085,32,32,3
91086,41,41,4
91087,82,82,1
91088,36,36,5
91089,41,41,2
91090,68,68,5
91091,14,14,4
91092,28,28,4
91093,31,31,3
91094,51,51,2
91095,41,41,1
91096,42,42,2
91097,33,33,1
91098,23,23,4
91099,65,65,2
91100,41,41,1
91101,65,65,5
91102,22,22,5
91103,33,33,5
91104,44,44,5
91105,46,46,1
91106,68,68,2
91107,39,39,4
91108,68,68,4
91109,59,59,1
91110,47,47,5
91111,26,26,2
91112,68,68,2
91113,26,26,3
91114,49,49,3
91115,48,48,3
91116,44,44,1
91117,40,40,5
91118,29,29,2
91119,9,9,1
91120,85,85,5
91121,37,37,5
91122,46,46,5
91123,46,46,5
91124,77,77,4
91125,98,98,3
91126,53,53,1
91127,46,46,3
91128,21,21,2
91129,13,13,2
91130,5,5,4
91131,30,30,3
91132,1,1,1
91133,76,76,2
91134,60,60,4
91135,43,43,1
91136,77,77,5
91137,23,23,3
91138,29,29,3
91139,1,1,3
91140,69,69,5
91141,29,29,2
91142,50,50,4
91143,75,75,3
91144,84,84,2
91145,49,49,5
91146,59,59,4
91147,27,27,4
91148,92,92,5
91149,45,45,5
91150,52,52,4
91151,39,39,5
91152,79,79,4
91153,54,54,4
91154,69,69,4
91155,58,58,4
91156,44,44,1
91157,73,73,5
91158,58,58,5
91159,25,25,1
91160,25,25,5
91161,53,53,1
91162,72,72,2
91163,90,90,4
91164,5,5,1
91165,50,50,5
91166,62,62,5
91167,57,57,3
91168,75,75,1
91169,66,66,2
91170,25,25,4
91171,24,24,5
91172,57,57,4
91173,74,74,2
91174,53,53,4
91175,10,10,3
91176,23,23,4
91177,67,67,1
91178,41,41,4
91179,52,52,3
91180,76,76,5
91181,19,19,2
91182,39,39,4
91183,36,36,5
91184,58,58,1
91185,69,69,5
91186,12,12,4
91187,49,49,1
91188,71,71,2
91189,3,3,4
91190,48,48,1
91191,19,19,3
91192,33,33,2
91193,1,1,4
91194,84,84,1
91195,41,41,5
91196,29,29,5
91197,58,58,5
91198,23,23,4
91199,21,21,1
91200,87,87,4
91201,95,95,1
91202,35,35,1
91203,76,76,2
91204,58,58,3
91205,14,14,4
91206,26,26,4
91207,88,88,3
91208,14,14,2
91209,100,100,5
91210,35,35,3
91211,89,89,3
91212,42,42,1
91213,69,69,4
91214,84,84,4
91215,84,84,2
91216,35,35,1
91217,28,28,4
91218,47,47,4
91219,17,17,2
91220,55,55,5
91221,29,29,1
91222,77,77,3
91223,35,35,5
91224,6,6,3
91225,85,85,4
91226,54,54,2
91227,50,50,2
91228,77,77,5
91229,71,71,3
91230,30,30,5
91231,38,38,2
91232,22,22,2
91233,13,13,1
91234,64,64,4
91235,59,59,2
91236,69,69,5
91237,82,82,3
91238,69,69,5
91239,71,71,1
91240,1,1,5
91241,42,42,4
91242,74,74,4
91243,20,20,5
91244,52,52,4
91245,62,62,4
91246,61,61,1
91247,59,59,1
91248,64,64,5
91249,54,54,4
91250,13,13,4
91251,62,62,3
91252,57,57,1
91253,13,13,1
91254,84,84,4
91255,63,63,3
91256,15,15,2
91257,29,29,3
91258,35,35,1
91259,35,35,3
91260,57,57,2
91261,25,25,4
91262,78,78,2
91263,76,76,3
91264,65,65,1
91265,51,51,1
91266,73,73,2
91267,43,43,3
91268,31,31,4
91269,79,79,2
91270,57,57,4
91271,32,32,5
91272,39,39,4
91273,31,31,1
91274,100,100,3
91275,50,50,1
91276,53,53,2
91277,68,68,5
91278,19,19,1
91279,77,77,3
91280,34,34,4
91281,95,95,4
91282,42,42,3
91283,75,75,1
91284,1,1,2
91285,20,20,3
91286,42,42,1
91287,1,1,2
91288,65,65,1
91289,57,57,1
91290,25,25,2
91291,49,49,1
91292,70,70,3
91293,1,1,4
91294,18,18,5
91295,41,41,2
91296,50,50,1
91297,48,48,1
91298,72,72,4
91299,61,61,4
91300,67,67,1
91301,15,15,5
91302,53,53,1
91303,42,42,3
91304,86,86,4
91305,54,54,5
91306,33,33,4
91307,71,71,5
91308,64,64,2
91309,29,29,5
91310,41,41,1
91311,41,41,5
91312,80,80,3
91313,55,55,5
91314,68,68,3
91315,37,37,4
91316,58,58,3
91317,82,82,4
91318,40,40,1
91319,52,52,1
91320,15,15,2
91321,30,30,1
91322,41,41,5
91323,23,23,2
91324,83,83,5
91325,29,29,2
91326,69,69,1
91327,54,54,4
91328,50,50,4
91329,87,87,3
91330,1,1,3
91331,45,45,4
91332,22,22,2
91333,1,1,5
91334,20,20,5
91335,50,50,4
91336,31,31,1
91337,72,72,4
91338,44,44,1
91339,41,41,1
91340,41,41,2
91341,47,47,3
91342,39,39,5
91343,28,28,4
91344,74,74,4
91345,34,34,3
91346,40,40,2
91347,60,60,2
91348,57,57,5
91349,27,27,1
91350,68,68,5
91351,63,63,3
91352,54,54,3
91353,39,39,4
91354,39,39,3
91355,44,44,5
91356,19,19,5
91357,49,49,3
91358,72,72,2
91359,71,71,3
91360,40,40,5
91361,76,76,2
91362,97,97,4
91363,42,42,4
91364,67,67,4
91365,1,1,1
91366,18,18,4
91367,52,52,5
91368,24,24,1
91369,100,100,2
91370,64,64,5
91371,74,74,1
91372,49,49,5
91373,24,24,3
91374,37,37,2
91375,56,56,5
91376,34,34,3
91377,66,66,3
91378,67,67,2
91379,50,50,3
91380,4,4,1
91381,92,92,2
91382,44,44,5
91383,100,100,2
91384,66,66,4
91385,44,44,2
91386,61,61,4
91387,1,1,1
91388,75,75,5
91389,100,100,3
91390,1,1,2
91391,42,42,1
91392,47,47,1
91393,71,71,3
91394,100,100,2
91395,59,59,5
91396,100,100,3
91397,54,54,2
91398,61,61,4
91399,58,58,4
91400,80,80,1
91401,39,39,1
91402,70,70,1
91403,19,19,4
91404,42,42,4
91405,34,34,3
91406,52,52,5
91407,42,42,5
91408,78,78,3
91409,28,28,5
91410,6,6,2
91411,16,16,1
91412,74,74,2
91413,25,25,1
91414,59,59,3
91415,42,42,5
91416,70,70,1
91417,44,44,1
91418,100,100,3
91419,97,97,5
91420,42,42,2
91421,38,38,3
91422,100,100,1
91423,23,23,1
91424,48,48,5
91425,50,50,5
91426,49,49,1
91427,6,6,5
91428,62,62,4
91429,25,25,5
91430,85,85,3
91431,13,13,3
91432,51,51,3
91433,1,1,4
91434,1,1,1
91435,29,29,1
91436,32,32,2
91437,86,86,4
91438,48,48,2
91439,82,82,4
91440,40,40,5
91441,65,65,1
91442,31,31,4
91443,30,30,3
91444,4,4,5
91445,58,58,1
91446,56,56,4
91447,69,69,5
91448,55,55,5
91449,100,100,4
91450,54,54,3
91451,74,74,4
91452,41,41,5
91453,27,27,3
91454,67,67,1
91455,47,47,5
91456,70,70,4
91457,58,58,4
91458,30,30,2
91459,76,76,4
91460,28,28,2
91461,65,65,4
91462,82,82,1
91463,40,40,4
91464,78,78,5
91465,59,59,1
91466,71,71,5
91467,29,29,3
91468,55,55,5
91469,14,14,4
91470,92,92,3
91471,1,1,4
91472,41,41,5
91473,26,26,3
91474,66,66,2
91475,98,98,4
91476,66,66,5
91477,100,100,4
91478,15,15,4
91479,17,17,3
91480,27,27,5
91481,53,53,1
91482,24,24,3
91483,31,31,1
91484,65,65,2
91485,19,19,2
91486,21,21,2
91487,40,40,4
91488,42,42,2
91489,75,75,3
91490,27,27,2
91491,31,31,2
91492,64,64,2
91493,70,70,1
91494,85,85,4
91495,61,61,4
91496,53,53,4
91497,64,64,3
91498,43,43,2
91499,43,43,5
91500,5,5,3
91501,72,72,3
91502,55,55,1
91503,69,69,2
91504,1,1,2
91505,48,48,2
91506,28,28,3
91507,87,87,3
91508,65,65,4
91509,55,55,4
91510,39,39,5
91511,59,59,4
91512,26,26,5
91513,47,47,1
91514,35,35,1
91515,100,100,1
91516,86,86,4
91517,76,76,5
91518,12,12,2
91519,71,71,5
91520,54,54,1
91521,80,80,5
91522,58,58,2
91523,49,49,1
91524,55,55,3
91525,4,4,2
91526,30,30,2
91527,59,59,2
91528,78,78,5
91529,36,36,3
91530,48,48,2
91531,9,9,4
91532,86,86,4
91533,77,77,2
91534,66,66,3
91535,60,60,1
91536,88,88,1
91537,29,29,4
91538,27,27,1
91539,76,76,3
91540,74,74,4
91541,20,20,1
91542,36,36,3
91543,92,92,2
91544,60,60,5
91545,69,69,3
91546,21,21,5
